CIRCUMSTANCES,COMMENT,DEATH DESCRIPTION,CLASSIFICATION,Activity,Place?,% Classified,24.84%
sap by girls,Lees say no Doc says yes,"sap by girls, Lees say no Doc says yes",,,,,
personal dispute,wife's honor,"personal dispute, wife's honor",,,,,
thieves fall out,8 years,"thieves fall out, 8 years",,,,,
busin disput,acquitted,"busin disput, acquitted",,,,,
sus binder,Gets life also 3/31/92,"sus binder, Gets life also 3/31/92",,,,,
indict date 23rd,acquitted,"indict date 23rd, acquitted",,,,,
sus 801,,"sus 801, ",,,,,
saloon/Hoods,unprovoked?,"saloon/Hoods, unprovoked?",,,Saloon,,
approx date.,Acquitted,"approx date., Acquitted",,,,,
he says she shot,acquitted,"he says she shot, acquitted",,,,,
ws a187,,"ws a187, ",,,,,
indict date,Acquitted,"indict date, Acquitted",,,,,
pick up prize figth,grudge match waiters,"pick up prize figth, grudge match waiters",,,,,
labor strike,shot in back,"labor strike, shot in back",,,,,
drunken carouse,says Hanley pushed,"drunken carouse, says Hanley pushed",,,,,
labor beef,Just by scab,"labor beef, Just by scab",,,,,
,ca 8/16/90 died,", ca 8/16/90 died",,,,,
drunk dispute,,"drunk dispute, ",Drunk fight,,,,
sus 801,dispute re accounts,"sus 801, dispute re accounts",,,,,
Jew by  Christian- walks,says atty. ruined her.?,"Jew by  Christian- walks, says atty. ruined her.?",,,,,
indict date,acquitted,"indict date, acquitted",,,,,
over politics,saloonkeep dies,"over politics, saloonkeep dies",,,Saloon,,
actor blackmail,tong,"actor blackmail, tong",,,,,
saloon,payment for drink,"saloon, payment for drink",,,Saloon,,
reprisal nov 1,tong,"reprisal nov 1, tong",,,,,
Ex 12/3 indict 12/19,acquit call 3/31/92,"Ex 12/3 indict 12/19, acquit call 3/31/92",,,,,
drunk mate,throws old sailmaker,"drunk mate, throws old sailmaker",,,,,
over woman,acquit,"over woman, acquit",,,,,
over wages lemperle boss,out on bond,"over wages lemperle boss, out on bond",,,,,
sex triangle,,"sex triangle, ",,,,,
sus 801 att,says she wanted it,"sus 801 att, says she wanted it",,,,,
drunk trespasser,acquitted,"drunk trespasser, acquitted",,,,,
by binder employe,gets life,"by binder employe, gets life",,,,,
10 year .extorting money,killers robbing women,"10 year .extorting money, killers robbing women",,,,,
date of indict,acquitted,"date of indict, acquitted",,,,,
indit. 8/1/91 by employe,gets life,"indit. 8/1/91 by employe, gets life",,,,,
date of indict,18 years,"date of indict, 18 years",,,,,
,to Quentin,", to Quentin",,,,,
Drunken dispute,near Laguna,"Drunken dispute, near Laguna",Drunk fight,,,,
found in celler - door cl,,"found in celler - door cl, ",,,,,
errant wife,real wife to brothel,"errant wife, real wife to brothel",,,,,
Jealousy,,"Jealousy, ",,,,,
over woman,35 years,"over woman, 35 years",,,,,
cop killed beat in saloon,Coloseum Saloon. On duty? or Off,"cop killed beat in saloon, Coloseum Saloon. On duty? or Off",,,Saloon,,
drunken fratricide,,"drunken fratricide, ",,,,,
drunk dispute,convict 2n degre. her 2/7/57,"drunk dispute, convict 2n degre. her 2/7/57",Drunk fight,,,,
cop killed,,"cop killed, ",,,,,
tong war,v. Chee Sin Chong?,"tong war, v. Chee Sin Chong?",,,,,
sus 801 kid too,,"sus 801 kid too, ",,,,,
kills wife and inf son,,"kills wife and inf son, ",,,,,
money dispute,indict 12/3,"money dispute, indict 12/3",,,,,
,cop shot,", cop shot",,,,,
cop by wife,abuser but he was retreating and she had,"cop by wife, abuser but he was retreating and she had",,,,,
reprisal gang,Alas Suey tong and ON,"reprisal gang, Alas Suey tong and ON",,,,,
On Yec tong by,tong difficulty?,"On Yec tong by, tong difficulty?",,,,,
tong assassin,indict 12/30/91 then acquit,"tong assassin, indict 12/30/91 then acquit",,,,,
saloon fight kicked to de,booked for murder,"saloon fight kicked to de, booked for murder",,,Saloon,,
Suey on man,,"Suey on man, ",,,,,
reprisal,for yesterday,"reprisal, for yesterday",,,,,
salior kills saloon keepe,"86ed waited outside, cut DEc 29,1891","salior kills saloon keepe, 86ed waited outside, cut DEc 29,1891",,,Saloon,,
,Indicted per DA note,", Indicted per DA note",,,,,
"Doc, Yeong Wo",kept peace at NewY,"Doc, Yeong Wo, kept peace at NewY",,,,,
union sailor killed,on boat by longshoreman in labor beef,"union sailor killed, on boat by longshoreman in labor beef",,,,,
binders re woman,guy didn't steal woman,"binders re woman, guy didn't steal woman",,,,,
,DA has as manslaughter,", DA has as manslaughter",,,,,
,DA has as manslaughter,", DA has as manslaughter",,,,,
brother cut,said accident but mansl indictment,"brother cut, said accident but mansl indictment",,,,,
saloon keeper by drunk patron,with pistol in beef,"saloon keeper by drunk patron, with pistol in beef",,,Saloon,,
C.Says hoods,indicted for mans per DA 92/93 p394,"C.Says hoods, indicted for mans per DA 92/93 p394",,,,,
Saloon over pay,Big Steve was sailorl,"Saloon over pay, Big Steve was sailorl",,,Saloon,,
sailors fight,mansl indictment,"sailors fight, mansl indictment",,,,,
kills niece. sus 801,shoots wife also . no apparent sex angle,"kills niece. sus 801, shoots wife also . no apparent sex angle",,,,,
cut her 9 times,hanged 4/20/94,"cut her 9 times, hanged 4/20/94",,,,,
war with Sam Yup.,shooter old Bo Sin Sear over slave spoils,"war with Sam Yup., shooter old Bo Sin Sear over slave spoils",,,,,
start of war w/ On yekst,over slave extoriton,"start of war w/ On yekst, over slave extoriton",,,,,
unprovoked atta w. fists,bad blood over stolen chicken charge,"unprovoked atta w. fists, bad blood over stolen chicken charge",,,,,
drunk dispute,not guilty by jury,"drunk dispute, not guilty by jury",Drunk fight,,,,
prize fight,,"prize fight, ",,,,,
saloon,by fellow gambler,"saloon, by fellow gambler",,Gamble,Saloon,,
death warrant,Lee hanged  2/2/94,"death warrant, Lee hanged  2/2/94",,,,,
death warrant,planned at meeting,"death warrant, planned at meeting",,,,,
for  187 in war,,"for  187 in war, ",,,,,
at den by binder,,"at den by binder, ",,,,,
shot boyfriend,good one,"shot boyfriend, good one",,,,,
triangle awry,convoluted good one,"triangle awry, convoluted good one",,,,,
,dies Call 6/19/93,", dies Call 6/19/93",,,,,
by jockey,accused of pulling,"by jockey, accused of pulling",,,,,
sex mutilation,alkie wife led astray,"sex mutilation, alkie wife led astray",,,,,
aka Elizabeth Keene,DA has as murder,"aka Elizabeth Keene, DA has as murder",,,,,
,DA has as manslaughter,", DA has as manslaughter",,,,,
Drunken dispute,,"Drunken dispute, ",Drunk fight,,,,
,Schimmel,", Schimmel",,,,,
bomb,labor trouble by union,"bomb, labor trouble by union",,,,,
bomb,labor trouble by union,"bomb, labor trouble by union",,,,,
bomb at sailor,one of tw0,"bomb at sailor, one of tw0",,,,,
bomb,,"bomb, ",,,,,
killed in room,severral suspects,"killed in room, severral suspects",,,,,
domes. 35 stabs,hanged at Q6/7/95,"domes. 35 stabs, hanged at Q6/7/95",,,,,
drunk dispute,"vic aka Clarke,Jake","drunk dispute, vic aka Clarke,Jake",Drunk fight,,,,
indict 187 per Ch 12/15/74,drunk fight,"indict 187 per Ch 12/15/74, drunk fight",Drunk fight,,,,
sex triangle,Barbary Coast saloon,"sex triangle, Barbary Coast saloon",,,Saloon,,
drunk dispute,,"drunk dispute, ",Drunk fight,,,,
ruined daughter,,"ruined daughter, ",,,,,
nuts?,,"nuts?, ",,,,,
poisened by other than self,,"poisened by other than self, ",,,,,
fight drunk,saloon feud family,"fight drunk, saloon feud family",Drunk fight,,Saloon,,
,incindiary fire,", incindiary fire",,,,,
,manslaughter charge,", manslaughter charge",,,,,
fight drunk,vic had lost fight,"fight drunk, vic had lost fight",Drunk fight,,,,
drunk dispute,,"drunk dispute, ",Drunk fight,,,,
saloon affray,drunk suspect,"saloon affray, drunk suspect",Drunk fight,,Saloon,,
drunk,sucessor kills bailiff,"drunk, sucessor kills bailiff",,,,,
no go w/new guy,"wife, habeas corpus scam","no go w/new guy, wife, habeas corpus scam",,,,,
beef bet families,slave girl in wro famil,"beef bet families, slave girl in wro famil",,,,,
saloon,v. aged and respected,"saloon, v. aged and respected",,,Saloon,,
saloon,drunken quarrel,"saloon, drunken quarrel",Drunk fight,,Saloon,,
saloon dispute,coroner says 187,"saloon dispute, coroner says 187",,,Saloon,,
triangle - rejected,,"triangle - rejected, ",,,,,
saloon fight,,"saloon fight, ",,,Saloon,,
carny gambler by pals,,"carny gambler by pals, ",,Gamble,,,
drunk fight?,,"drunk fight?, ",Drunk fight,,,,
jealousy,,"jealousy, ",,,,,
drunken quarrel,,"drunken quarrel, ",Drunk fight,,,,
drunk fight,homicide,"drunk fight, homicide",Drunk fight,,,,
sus 801,,"sus 801, ",,,,,
drunk fight,at party,"drunk fight, at party",Drunk fight,,,,
Sex crim rape,also direct,"Sex crim rape, also direct",Rape,,,,
Window cleaners,,"Window cleaners, ",,,,,
sex rape,wrong date,"sex rape, wrong date",Rape,,,,
sex rape,,"sex rape, ",Rape,,,,
rape? murder,clothing messed,"rape? murder, clothing messed",Rape,,,,
atten to wife,on Jackson,"atten to wife, on Jackson",,,,,
saloon,,"saloon, ",,,Saloon,,
rape???,corset torn,"rape???, corset torn",Rape,,,,
goes postal,,"goes postal, ",,,,,
defend date in,lovers lane-fr rape,"defend date in, lovers lane-fr rape",Rape,,,,
rape?Km,Murder,"rape?Km, Murder",Rape,,,,
rape robb,serial,"rape robb, serial",Rape,,,,
rape robb,serial#4 check,"rape robb, serial#4 check",Rape,,,,
Rape,,"Rape, ",Rape,,,,
over kicked dog,note says none lately,"over kicked dog, note says none lately",,,,,
companies split,more 7/30 9/23,"companies split, more 7/30 9/23",,,,,
by barkeep,,"by barkeep, ",,,,,
,man and wife kill 17 month old and 801,", man and wife kill 17 month old and 801",,,,,
much more in Byram,this got boycott going?,"much more in Byram, this got boycott going?",,,,,
rent dispute money,tenant kills landlord,"rent dispute money, tenant kills landlord",,,,,
tender shoots,through saloon door,"tender shoots, through saloon door",,,Saloon,,
rape set afire in home,nr 6th Howard,"rape set afire in home, nr 6th Howard",Rape,,,,
Rape,,"Rape, ",Rape,,,,
runaround wife,accident,"runaround wife, accident",,,,,
Rape,,"Rape, ",Rape,,,,
strangled,aka May Smith,"strangled, aka May Smith",,,,,
burglar by butler,Phony case see Duke p. 131 never tried.,"burglar by butler, Phony case see Duke p. 131 never tried.",,,,,
sex rape,sharp instru,"sex rape, sharp instru",Rape,,,,
suicide pact,,"suicide pact, ",,,,,
,Report May 20/96,", Report May 20/96",,,,,
labor lathers strike non union,12 indicted,"labor lathers strike non union, 12 indicted",,,,,
strangled,,"strangled, ",,,,,
sex rape,34 times,"sex rape, 34 times",Rape,,,,
rape,,"rape, ",Rape,,,,
sus 801 mom,,"sus 801 mom, ",,,,,
sus 801 mom,,"sus 801 mom, ",,,,,
sus 801 mom,,"sus 801 mom, ",,,,,
fight,died after taken to jail.  Justified?,"fight, died after taken to jail.  Justified?",,,,,
maybe reg,,"maybe reg, ",,,,,
Quarrel,stabbed while asleep,"Quarrel, stabbed while asleep",,,,,
rape,bread knife,"rape, bread knife",Rape,,,,
sus 801,religious nut and paramour,"sus 801, religious nut and paramour",,,,,
by nephew,said she had his watch,"by nephew, said she had his watch",,,,,
sus 801 lover boy,,"sus 801 lover boy, ",,,,,
SF coroner and courts han,military not handle,"SF coroner and courts han, military not handle",,,,,
internal Asylum Society,real guy in China,"internal Asylum Society, real guy in China",,,,,
rape sodomy,,"rape sodomy, ",Rape,,,,
saloon  vic bad,24th and railroad,"saloon  vic bad, 24th and railroad",,,Saloon,,
street beating,,"street beating, ",,,,,
debt re wif pric money,hired hit,"debt re wif pric money, hired hit",,,,,
repris for 7/18cas,repris for 7/18/case,"repris for 7/18cas, repris for 7/18/case",,,,,
in street,,"in street, ",,,,,
drun kills stepson defend,mans gets max sentence,"drun kills stepson defend, mans gets max sentence",,,,,
hoods beat drun,street asault,"hoods beat drun, street asault",,,,,
sex rape,plea 2nd degree,"sex rape, plea 2nd degree",Rape,,,,
jealousy,Wrong guy . really Mickey?,"jealousy, Wrong guy . really Mickey?",,,,,
Sam Yup by see,hanged from rafter  -- arrest 9/3/97,"Sam Yup by see, hanged from rafter  -- arrest 9/3/97",,,,,
see Yup by sam,or Ju Jung or Chu Chang vic,"see Yup by sam, or Ju Jung or Chu Chang vic",,,,,
,cops predict trouble,", cops predict trouble",,,,,
wife abuser choked?,"may have been overexertion, booked for m","wife abuser choked?, may have been overexertion, booked for m",,,,,
sex rape,,"sex rape, ",Rape,,,,
sus 801,lover kills her,"sus 801, lover kills her",,,,,
saloon,Old greivance nut?,"saloon, Old greivance nut?",,,Saloon,,
saloon unprovoked,,"saloon unprovoked, ",,,Saloon,,
"saloon, of dut cop loses",loses fight kills enemy,"saloon, of dut cop loses, loses fight kills enemy",,,Saloon,,
drunk party,sus says 801 cops 187,"drunk party, sus says 801 cops 187",,,,,
beat her she died,,"beat her she died, ",,,,,
sex rape,,"sex rape, ",Rape,,,,
over dog,finally insane,"over dog, finally insane",,,,,
ex worker,fired yesterday,"ex worker, fired yesterday",,,,,
talkie uncle,to hang,"talkie uncle, to hang",,,,,
hoods beat man in saloon,goes outside beats and kicks,"hoods beat man in saloon, goes outside beats and kicks",,,Saloon,,
coast rounders,,"coast rounders, ",,,,,
sex criminal,,"sex criminal, ",,,,,
she left him,for life of shame,"she left him, for life of shame",,,,,
in street,sus say over money both lee family,"in street, sus say over money both lee family",,,,,
3 in brain,big case cops 801?,"3 in brain, big case cops 801?",,,,,
drunk senseless,thought he was bilked,"drunk senseless, thought he was bilked",,,,,
kills prost,half breed pleads guilt,"kills prost, half breed pleads guilt",,,,,
sex rape,,"sex rape, ",Rape,,,,
labor union beef?,refer in Chun Yet ten,"labor union beef?, refer in Chun Yet ten",,,,,
saloon fight,coasters did it?,"saloon fight, coasters did it?",,,Saloon,,
cop killed,,"cop killed, ",,,,,
drunk kills tenant,v. tries to defend mom,"drunk kills tenant, v. tries to defend mom",,,,,
sex rape,,"sex rape, ",Rape,,,,
baroom, vic agrressor,"baroom,  vic agrressor",,,,,
rest dispute,kills waiter,"rest dispute, kills waiter",,,,,
marine rage,over right of way,"marine rage, over right of way",,,,,
labor/business,pete's nephew,"labor/business, pete's nephew",,,,,
aka Simpson,like 1896 cases,"aka Simpson, like 1896 cases",,,,,
family fued,roots in China,"family fued, roots in China",,,,,
over fishin nets,bro in law splits,"over fishin nets, bro in law splits",,,,,
sus 801,champ/s dad insane,"sus 801, champ/s dad insane",,,,,
over money,kills step dad,"over money, kills step dad",,,,,
Drunk soldier,Not guilty. twinkie defense,"Drunk soldier, Not guilty. twinkie defense",,,,,
sex rape,,"sex rape, ",Rape,,,,
Drunk Jealous,by fiancee 21 years,"Drunk Jealous, by fiancee 21 years",,,,,
labor union beef,scab by union hit man,"labor union beef, scab by union hit man",,,,,
sex rape,,"sex rape, ",Rape,,,,
sisters? or,maybe man friend,"sisters? or, maybe man friend",,,,,
drunk lodger,throws oil lamp burns,"drunk lodger, throws oil lamp burns",,,,,
triangle,of coast waitress gets life,"triangle, of coast waitress gets life",,,,,
labor union beef,scab/union by pro killer arrest 10/00,"labor union beef, scab/union by pro killer arrest 10/00",,,,,
sex rape,,"sex rape, ",Rape,,,,
alcohol beef,drunk by landord,"alcohol beef, drunk by landord",,,,,
tong war,see for due process,"tong war, see for due process",,,,,
quarrel,v. La Mafia?,"quarrel, v. La Mafia?",,,,,
tries 801,looks insane,"tries 801, looks insane",,,,,
dispute,over small bill,"dispute, over small bill",,,,,
saloon,political argument,"saloon, political argument",,,Saloon,,
saloon,Kills uncle flees,"saloon, Kills uncle flees",,,Saloon,,
sex rape,,"sex rape, ",Rape,,,,
rape sex,,"rape sex, ",Rape,,,,
rape sex,,"rape sex, ",Rape,,,,
street assault,drunk beaten,"street assault, drunk beaten",,,,,
tong war,part of tong war,"tong war, part of tong war",,,,,
v fisherman,no arrest gang mafia angle,"v fisherman, no arrest gang mafia angle",,,,,
tong war,general fight,"tong war, general fight",,,,,
shoots partner,over wolf whistle?,"shoots partner, over wolf whistle?",,,,,
kills baby,big deal,"kills baby, big deal",,,,,
drunken row,sailor by barkeep,"drunken row, sailor by barkeep",,,,,
insane,to asylum,"insane, to asylum",,,,,
street fight,boys mix it up,"street fight, boys mix it up",,,,,
Sex rape,,"Sex rape, ",Rape,,,,
Sus 801,jealousy? wife,"Sus 801, jealousy? wife",,,,,
drunk,soldier/saloon girl,"drunk, soldier/saloon girl",,,Saloon,,
Gay?,doc kills live in,"Gay?, doc kills live in",,,,,
over woman,ordered to do it,"over woman, ordered to do it",,,,,
sex rape,,"sex rape, ",Rape,,,,
by son gets life,throws lamp at guest,"by son gets life, throws lamp at guest",,,,,
jealousy,sailor / saloon girl,"jealousy, sailor / saloon girl",,,Saloon,,
sex rape,,"sex rape, ",Rape,,,,
saloon,by sis's pimp,"saloon, by sis's pimp",,,Saloon,,
dispute woman,dep sher by sailor,"dispute woman, dep sher by sailor",,,,,
dispute woman,loose woman by sailor,"dispute woman, loose woman by sailor",,,,,
swindler by vic,acquit in end,"swindler by vic, acquit in end",,,,,
saloon,nut ex employee,"saloon, nut ex employee",,,Saloon,,
insane,,"insane, ",,,,,
sex rape,,"sex rape, ",Rape,,,,
rape rob sex apt,,"rape rob sex apt, ",Rape,,,,
saloon,row over paying,"saloon, row over paying",,,Saloon,,
prostitute murder,28 stabs yet mansl.,"prostitute murder, 28 stabs yet mansl.",,,,,
sex rape,,"sex rape, ",Rape,,,,
running dispute,self defense?,"running dispute, self defense?",,,,,
tailor war,aka Wong Chung Gom,"tailor war, aka Wong Chung Gom",,,,,
self defense,over water leak,"self defense, over water leak",,,,,
drunk mistress,alcohol,"drunk mistress, alcohol",,,,,
see over repeats,Marysville war,"see over repeats, Marysville war",,,,,
carpenter by bind,Hop sing by Suey Sin,"carpenter by bind, Hop sing by Suey Sin",,,,,
Hop Sing by,by Suey Sing,"Hop Sing by, by Suey Sing",,,,,
resort,bartend intervenes,"resort, bartend intervenes",,,,,
,get 20 years,", get 20 years",,,,,
Suey Sing by,by Hop Sing,"Suey Sing by, by Hop Sing",,,,,
Sam Yup mercha,by Suey Sing,"Sam Yup mercha, by Suey Sing",,,,,
Sam Yup merchan,by Suey Sing,"Sam Yup merchan, by Suey Sing",,,,,
convicet 801,after pres of Hop Si,"convicet 801, after pres of Hop Si",,,,,
horse eatas palm,teamster/florist,"horse eatas palm, teamster/florist",,,,,
saloon,bartender ousts drunk,"saloon, bartender ousts drunk",,,Saloon,,
sex rape,,"sex rape, ",Rape,,,,
rape hot prowl,,"rape hot prowl, ",Rape,,,,
rape,,"rape, ",Rape,,,,
vic gambler,,"vic gambler, ",,Gamble,,,
over woman,,"over woman, ",,,,,
Sus 801,Sus 801,"Sus 801, Sus 801",,,,,
no suspects,assault,"no suspects, assault",,,,,
,assault,", assault",,,,,
spec cop killed by othe cops?,,"spec cop killed by othe cops?, ",,,,,
juv beef,not guilty,"juv beef, not guilty",,,,,
fired on friend,friends say aimed,"fired on friend, friends say aimed",,,,,
owed him money,she slave dealer,"owed him money, she slave dealer",,,,,
rape,,"rape, ",Rape,,,,
,assault,", assault",,,,,
att hits bum who,cerebral hemorage,"att hits bum who, cerebral hemorage",,,,,
business fallout,also female?,"business fallout, also female?",,,,,
both Sam Yups,,"both Sam Yups, ",,,,,
money/woman money,,"money/woman money, ",,,,,
mistake,Bing Kong v.Suey sin,"mistake, Bing Kong v.Suey sin",,,,,
sus 801,Tenderloin girl,"sus 801, Tenderloin girl",,,,,
slave girl,revenge,"slave girl, revenge",,,,,
sus 801,rejected lover,"sus 801, rejected lover",,,,,
quarell,,"quarell, ",,,,,
shoot at woman,innocent by,"shoot at woman, innocent by",,,,,
quarell,gets life,"quarell, gets life",,,,,
,burns fr thrown,", burns fr thrown",,,,,
beaten- black?,could these be black,"beaten- black?, could these be black",,,,,
rape? sodomy,,"rape? sodomy, ",Rape,,,,
killed in bed,sometime in May,"killed in bed, sometime in May",,,,,
client shot atty,,"client shot atty, ",,,,,
first of 3 doomed,,"first of 3 doomed, ",,,,,
acquitted,shot at kids with fire crackers,"acquitted, shot at kids with fire crackers",,,,,
2nd of 3 doomed,,"2nd of 3 doomed, ",,,,,
to quentin,,"to quentin, ",,,,,
revenge agin pa,hangs7/22/04,"revenge agin pa, hangs7/22/04",,,,,
entering den,,"entering den, ",,,,,
by landlord,v. arguing w/his wife . Drunk,"by landlord, v. arguing w/his wife . Drunk",,,,,
 sex rape?,," sex rape?, ",Rape,,,,
Sus 801,,"Sus 801, ",,,,,
rape,,"rape, ",Rape,,,,
strangle with rope,,"strangle with rope, ",,,,,
rape,,"rape, ",Rape,,,,
grudge?,,"grudge?, ",,,,,
acquitted,,"acquitted, ",,,,,
last of 3 doomed,,"last of 3 doomed, ",,,,,
strike,gets death penalty,"strike, gets death penalty",,,,,
Sus 801,crazy suitor,"Sus 801, crazy suitor",,,,,
labor strife,dies later - shot July 30,"labor strife, dies later - shot July 30",,,,,
looksee killed,,"looksee killed, ",,,,,
strike,cops hush up,"strike, cops hush up",,,,,
rape,,"rape, ",Rape,,,,
shot in bed,,"shot in bed, ",,,,,
shot in bed,,"shot in bed, ",,,,,
rape,,"rape, ",Rape,,,,
rape,,"rape, ",Rape,,,,
by Ping Kong tong,,"by Ping Kong tong, ",,,,,
from list,,"from list, ",,,,,
cop shot,,"cop shot, ",,,,,
over dog,gets life,"over dog, gets life",,,,,
jealous husban,,"jealous husban, ",,,,,
fight,,"fight, ",,,,,
att rape,,"att rape, ",Rape,,,,
reprisial above,sus binder,"reprisial above, sus binder",,,,,
stole his wife,revenge,"stole his wife, revenge",,,,,
no arrest,,"no arrest, ",,,,,
rape,,"rape, ",Rape,,,,
prisoners fite,,"prisoners fite, ",,,,,
rape,,"rape, ",Rape,,,,
rape,,"rape, ",Rape,,,,
fight w three,,"fight w three, ",,,,,
shot by watchm,watchman arrest,"shot by watchm, watchman arrest",,,,,
jealousy re wom,,"jealousy re wom, ",,,,,
by 86ed Drunk,,"by 86ed Drunk, ",,,,,
saloon quarrel,,"saloon quarrel, ",,,Saloon,,
dentists,acquitted,"dentists, acquitted",,,,,
Sus 801 stalk?,nut suitor,"Sus 801 stalk?, nut suitor",,,,,
beaten to death,,"beaten to death, ",,,,,
saloon had beat,mom but,"saloon had beat, mom but",,,Saloon,,
no arest record,,"no arest record, ",,,,,
boy sniper,,"boy sniper, ",,,,,
in game,war from Walnut Grove,"in game, war from Walnut Grove",,,,,
reprisal for abov,Did He Die?,"reprisal for abov, Did He Die?",,,,,
dressed as Chin,disquise,"dressed as Chin, disquise",,,,,
triangle,fled to Canada,"triangle, fled to Canada",,,,,
no arrest record,,"no arrest record, ",,,,,
rape,,"rape, ",Rape,,,,
gambler,,"gambler, ",,Gamble,,,
war 5 shot before,two fites today,"war 5 shot before, two fites today",,,,,
womans remark,wives beef,"womans remark, wives beef",,,,,
,acquitted,", acquitted",,,,,
business beef,suspected theft,"business beef, suspected theft",,,,,
saloon,mickey finn,"saloon, mickey finn",,,Saloon,,
insulted wife?,,"insulted wife?, ",,,,,
rape,,"rape, ",Rape,,,,
opium den,post war of words,"opium den, post war of words",,,,,
cousins,personal but,"cousins, personal but",,,,,
jealousy domes,shot in street,"jealousy domes, shot in street",,,,,
gay?,,"gay?, ",,,,,
Ch Edu En Vic,by See Yup,"Ch Edu En Vic, by See Yup",,,,,
sus 801,Italian love story,"sus 801, Italian love story",,,,,
sex rape?,,"sex rape?, ",Rape,,,,
approx date,,"approx date, ",,,,,
relaativ bing kon,aged doc,"relaativ bing kon, aged doc",,,,,
sus 801,,"sus 801, ",,,,,
spec cop killed,Roll of Honor,"spec cop killed, Roll of Honor",,,,,
sex rape?,,"sex rape?, ",Rape,,,,
tries sus 801,rejected big deal,"tries sus 801, rejected big deal",,,,,
sex rape?,sodomy,"sex rape?, sodomy",Rape,,,,
Sus 801,followed from LA,"Sus 801, followed from LA",,,,,
acquitted,bad character,"acquitted, bad character",,,,,
cop kill dad inlaw,death sentence,"cop kill dad inlaw, death sentence",,,,,
bootblacks,argument,"bootblacks, argument",,,,,
Lily Coit's room,drunk angry,"Lily Coit's room, drunk angry",,,,,
shot on stage,tong by mistake,"shot on stage, tong by mistake",,,,,
rape,,"rape, ",Rape,,,,
binders war,,"binders war, ",,,,,
sex ass rape?,,"sex ass rape?, ",Rape,,,,
,colored fighter,", colored fighter",,,,,
killed bro in law,insurance?,"killed bro in law, insurance?",,,,,
beatem bu nknown,,"beatem bu nknown, ",,,,,
kills saloon Kee,,"kills saloon Kee, ",,,Saloon,,
,did he die??,", did he die??",,,,,
reprisal?,war on,"reprisal?, war on",,,,,
wrong guy,wrong tong too,"wrong guy, wrong tong too",,,,,
parracide plus,big deal,"parracide plus, big deal",,,,,
jealousy,divorce pending,"jealousy, divorce pending",,,,,
Sus 801,rejected lover,"Sus 801, rejected lover",,,,,
refused tribute money,by extortionist,"refused tribute money, by extortionist",,,,,
insulted wife,gets life,"insulted wife, gets life",,,,,
sus 800,delusional,"sus 800, delusional",,,,,
mickey finn+,thumped,"mickey finn+, thumped",,,,,
deserted him,return to the life,"deserted him, return to the life",,,,,
employee,cop gets medal,"employee, cop gets medal",,,,,
breakfast late,rage at boss,"breakfast late, rage at boss",,,,,
sex grat . rape?,reclass 3/30/83,"sex grat . rape?, reclass 3/30/83",Rape,,,,
sex rape?,,"sex rape?, ",Rape,,,,
sus 801,spurned him,"sus 801, spurned him",,,,,
sus 801,won't leave w/him,"sus 801, won't leave w/him",,,,,
over dog,by poundkeeper,"over dog, by poundkeeper",,,,,
saloon sold sail,like 1847 case,"saloon sold sail, like 1847 case",,,Saloon,,
touch wif accid,tried to apolgize,"touch wif accid, tried to apolgize",,,,,
burg rob? rape,,"burg rob? rape, ",Rape,,,,
over dog,insulted dog,"over dog, insulted dog",,,,,
sex rape?,mutilated,"sex rape?, mutilated",Rape,,,,
sus 801,mock date,"sus 801, mock date",,,,,
different dog,wanted other dog,"different dog, wanted other dog",,,,,
triangle,of ex hus,"triangle, of ex hus",,,,,
saloon quarrel,,"saloon quarrel, ",,,Saloon,,
saloon,had enticed daughter,"saloon, had enticed daughter",,,Saloon,,
triangle,kills ex husb,"triangle, kills ex husb",,,,,
gang mafia angl?,much on this,"gang mafia angl?, much on this",,,,,
sus 801,Pact? but ?,"sus 801, Pact? but ?",,,,,
Lee Li dispute,tongs?,"Lee Li dispute, tongs?",,,,,
over business,,"over business, ",,,,,
over business,,"over business, ",,,,,
over business,,"over business, ",,,,,
dismembered,no connection above,"dismembered, no connection above",,,,,
sex rape?,,"sex rape?, ",Rape,,,,
from state pris register,,"from state pris register, ",,,,,
broke rules,re woman,"broke rules, re woman",,,,,
in street,wife out late,"in street, wife out late",,,,,
sus 801,mom says 187,"sus 801, mom says 187",,,,,
sus 801,triangle,"sus 801, triangle",,,,,
ladys man,w/his own Queu,"ladys man, w/his own Queu",,,,,
triangle re wife,of victim,"triangle re wife, of victim",,,,,
sus 801,trying to stop 801,"sus 801, trying to stop 801",,,,,
sex rape?,,"sex rape?, ",Rape,,,,
86ed freinds,,"86ed freinds, ",,,,,
tong difficulty,,"tong difficulty, ",,,,,
tong difficulty,,"tong difficulty, ",,,,,
sus 801,,"sus 801, ",,,,,
rape,,"rape, ",Rape,,,,
sus 800,said evil eye,"sus 800, said evil eye",,,,,
rape,,"rape, ",Rape,,,,
rape,,"rape, ",Rape,,,,
sus 801,jealousy,"sus 801, jealousy",,,,,
duel,over woman,"duel, over woman",,,,,
boxin match,,"boxin match, ",,,,,
ex police officer,altercation,"ex police officer, altercation",,,,,
unk chin,,"unk chin, ",,,,,
son-in-law kills,32 cal,"son-in-law kills, 32 cal",,,,,
,shot to kill,", shot to kill",,,,,
shot going,thru line  Quake,"shot going, thru line  Quake",,,,,
shot,Quake,"shot, Quake",,,,,
